id_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1353179,280000.0,45.0,RUE MARX DORMOY,75018.0,36.0,2.0,2.359116,48.887721
2022-1353181,290754.0,2.0,RUE HERMANN LACHAPELLE,75018.0,64.0,3.0,2.35144,48.894193
2022-1353182,520000.0,75.0,RUE CHARLOT,75003.0,44.0,3.0,2.363918,48.864284
2022-1353183,455000.0,2.0,RUE LANTIEZ,75017.0,35.0,3.0,2.322979,48.893666
2022-1353185,135700.0,6.0,RUE VERSIGNY,75018.0,16.0,1.0,2.344725,48.89464
2022-1353186,1123600.0,3.0,RUE ETIENNE MARCEL,75001.0,110.0,4.0,2.350362,48.863311
2022-1353187,428800.0,15.0,RUE DAUTANCOURT,75017.0,42.0,2.0,2.324054,48.889653
2022-1353188,532400.0,7.0,RUE CHATEAUBRIAND,75008.0,35.0,2.0,2.302063,48.873295
2022-1353189,380000.0,2.0,PL CHARLES BERNARD,75018.0,33.0,2.0,2.343103,48.893378
2022-1353190,860000.0,37.0,RUE SAINT-GEORGES,75009.0,82.0,4.0,2.336865,48.877197
2022-1353191,817000.0,135.0,RUE SAINT ANTOINE,75004.0,140.0,6.0,2.359634,48.855127
2022-1353192,282000.0,18.0,RUE JEAN-BAPTISTE PIGALLE,75009.0,27.0,1.0,2.333366,48.878715
2022-1353193,500000.0,19.0,RUE LALLY TOLLENDAL,75019.0,51.0,3.0,2.373401,48.883398
2022-1353195,280000.0,35.0,RUE LEMERCIER,75017.0,55.0,3.0,2.323025,48.886685
2022-1353196,273600.0,47.0,RUE PLANCHAT,75020.0,30.0,2.0,2.396905,48.855003
2022-1353197,581000.0,7.0,QUAI DE L OISE,75019.0,63.0,3.0,2.381457,48.890078
2022-1353198,599900.0,48.0,RUE DE BELLEVILLE,75020.0,60.0,1.0,2.381385,48.87302
2022-1353199,530000.0,15.0,RUE LA BRUYERE,75009.0,40.0,2.0,2.335638,48.878914
2022-1353201,153600.0,62.0,AV CLAUDE VELLEFAUX,75010.0,9.0,1.0,2.370665,48.876632
2022-1353201,153600.0,62.0,AV CLAUDE VELLEFAUX,75010.0,10.0,1.0,2.370665,48.876632
2022-1353202,215000.0,8.0,RUE DROUOT,75009.0,23.0,2.0,2.340717,48.872657
2022-1353203,937000.0,27.0,RUE MARBEUF,75008.0,55.0,3.0,2.304234,48.869357
2022-1353204,975400.0,43.0,AV TRUDAINE,75009.0,77.0,4.0,2.341775,48.880708
2022-1353205,305000.0,10.0,RUE GUSTAVE ROUANET,75018.0,41.0,2.0,2.340625,48.896686
