id_mutation,type_local,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,surface_reelle_bati,nombre_pieces_principales,longitude,latitude
2022-1353813,Appartement,200000.0,46.0,RUE BLANCHE,75009.0,22.0,2.0,2.331618,48.879835
2022-1353814,Appartement,215000.0,7.0,RUE BURNOUF,75019.0,25.0,2.0,2.373824,48.875767
2022-1353815,Appartement,225000.0,71.0,RUE RIQUET,75018.0,26.0,2.0,2.362389,48.889438
2022-1353817,Appartement,351000.0,36.0,AV DE CLICHY,75018.0,40.0,2.0,2.326778,48.885794
2022-1353819,Appartement,630000.0,312.0,RUE SAINT-HONORE,75001.0,39.0,2.0,2.331532,48.865332
2022-1353825,Appartement,150000.0,31.0,RUE DE L ECHIQUIER,75010.0,14.0,1.0,2.350121,48.87141
2022-1353830,Appartement,336740.0,53.0,RUE DU FBG ST MARTIN,75010.0,28.0,2.0,2.356554,48.871375
2022-1353833,Appartement,300000.0,97.0,AV JEAN JAURES,75019.0,29.0,1.0,2.38006,48.885729
2022-1353837,Appartement,765000.0,29.0,RUE EUGENE JUMIN,75019.0,93.0,4.0,2.391808,48.888012
2022-1353840,Appartement,435000.0,46.0,RUE TIQUETONNE,75002.0,40.0,2.0,2.347238,48.864865
2022-1353849,Appartement,470230.0,79.0,BD BARBES,75018.0,46.0,3.0,2.349261,48.891421
2022-1353850,Appartement,246300.0,87.0,RUE DE ROME,75017.0,19.0,1.0,2.319319,48.882927
2022-1353852,Appartement,300000.0,13.0,RUE GAUTHEY,75017.0,29.0,2.0,2.320223,48.891705
2022-1353864,Appartement,63970.0,21.0,RUE PIERRE SEMARD,75009.0,7.0,1.0,2.347666,48.87873
2022-1353866,Appartement,258000.0,23.0,RUE ESCLANGON,75018.0,26.0,2.0,2.343392,48.896568
2022-1353870,Appartement,1500000.0,8.0,BD DE MAGENTA,75010.0,140.0,5.0,2.362647,48.869355
2022-1353877,Appartement,300000.0,8.0,RUE DES ABBESSES,75018.0,30.0,1.0,2.338989,48.88417
2022-1353888,Appartement,288500.0,96.0,BD DE LA VILLETTE,75019.0,32.0,2.0,2.372296,48.876708
2022-1353890,Appartement,822300.0,9.0,RUE DU PELICAN,75001.0,56.0,4.0,2.339632,48.862586
2022-1353897,Appartement,964500.0,9.0,RUE POULBOT,75018.0,70.0,3.0,2.339854,48.886597
